solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
liblinear,l1,False,0.744,51.093851763530566,False,8.663,104,ovr,,,2019,0,True,,0.121
liblinear,l1,False,0.03657509268060322,8.464149944809732,True,3.899,101,ovr,0.8718638357105861,,2019,0,True,,0.073
saga,l2,False,0.214,59.07,False,7.750339122284082,100,ovr,,,2019,0,False,,0.105
sag,none,False,0.331,78.04852841018604,True,7.71942444449204,98,multinomial,,,2019,0,False,,0.093
lbfgs,none,False,0.586,90.331,True,0.461,105,ovr,0.0406632736752609,,2019,0,False,,0.044
liblinear,l1,False,0.03657509268060322,8.464149944809732,True,3.899,101,ovr,0.6809967701112433,,2019,0,True,,0.073
lbfgs,none,False,0.586,90.331,True,0.461,104,ovr,0.5583557360970469,,2019,0,False,,0.044
liblinear,l1,False,0.03657509268060322,8.464149944809732,True,3.899,101,ovr,0.946502554169996,,2019,0,False,,0.073
liblinear,l2,True,0.858,80.178,False,7.515,100,auto,,,2019,0,False,,0.11
sag,none,False,0.441,37.886,True,4.642,102,multinomial,0.9098511774051025,,2019,0,True,,0.013
saga,elasticnet,False,0.858,80.178,False,7.515,100,auto,0.7491348233908631,,2019,0,False,,0.105
sag,l2,False,0.331,78.04852841018604,True,7.71942444449204,98,multinomial,,,2019,0,False,,0.095
liblinear,l1,False,0.476,26.565,False,6.653,103,ovr,0.6553618646747296,,2019,0,True,,0.121
saga,l1,False,0.4132482743973696,95.65691286027949,False,3.94,100,ovr,0.7123576525162417,,2019,0,True,,0.105
liblinear,l1,False,0.476,26.565,False,6.653,103,ovr,0.9027101506193307,,2019,0,True,,0.121
lbfgs,l2,False,0.575,70.441,True,3.4882931590080974,98,auto,0.372449262972256,,2019,0,True,,0.044
lbfgs,l2,False,0.575,70.441,True,3.4882931590080974,98,auto,0.20784410369082473,,2019,0,True,,0.044
saga,l2,False,0.214,59.07,False,7.750339122284082,100,ovr,0.5871255046951435,,2019,0,False,,0.105
lbfgs,none,False,0.6133923974395783,70.441,True,3.4882931590080974,98,auto,0.15102317386398778,,2019,0,True,,0.044
saga,l1,False,0.619,87.01,True,3.642,101,auto,0.3334083880298664,,2019,0,False,,0.104
lbfgs,l2,False,0.894,54.474,False,8.831,104,multinomial,,,2019,0,False,,0.084
saga,l1,False,0.7310795979306085,95.65691286027949,False,3.94,100,ovr,0.7896231589257826,,2019,0,True,,0.105
lbfgs,l2,False,0.6133923974395783,70.441,True,3.4882931590080974,98,auto,0.3382559700266786,,2019,0,True,,0.044
sag,none,False,0.49849162452910994,89.289,True,3.48,97,auto,0.041202949506209285,,2019,0,False,,-0.154
liblinear,l1,False,0.03657509268060322,8.464149944809732,True,3.899,101,ovr,0.16386054567557595,,2019,0,False,,0.073
saga,l1,False,0.946,89.197,False,3.715,98,multinomial,,,2019,0,False,,0.121
liblinear,l1,False,0.03657509268060322,8.464149944809732,True,3.899,101,ovr,0.9819140701253054,,2019,0,False,,0.073
sag,l2,False,0.898,30.49,True,3.588,104,auto,,,2019,0,False,,-0.119
saga,l2,False,0.214,59.07,False,0.19298249603646286,100,ovr,0.28953085363586695,,2019,0,False,,0.105
liblinear,l2,False,0.586,90.331,True,0.461,104,ovr,0.39479198298829066,,2019,0,False,,0.147
saga,elasticnet,False,0.761,7.236,False,6.36,104,ovr,0.29340700145733656,,2019,0,False,,0.105
newton-cg,none,False,0.747,90.041,False,9.441,95,auto,,,2019,0,True,,0.084
saga,elasticnet,False,0.586,90.331,True,0.461,104,ovr,0.2397060836386239,,2019,0,False,,0.104
lbfgs,none,False,0.6133923974395783,70.441,True,3.4882931590080974,98,auto,,,2019,0,True,,0.044
newton-cg,l2,False,0.093,32.806,True,1.656,96,ovr,,,2019,0,True,,0.044
saga,l1,False,0.435,26.835,True,2.635,105,auto,,,2019,0,False,,0.104
saga,l2,False,0.214,59.07,False,0.19298249603646286,100,ovr,,,2019,0,False,,0.105
lbfgs,none,False,0.3847420357807596,70.441,True,3.4882931590080974,98,auto,,,2019,0,True,,0.044
