solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
lbfgs,l2,False,0.031,4.286,True,8.455181890859379,102,ovr,,,2019,0,False,,0.018
liblinear,l2,True,0.8038084232384735,32.718,False,1.4499417609870462,102,ovr,0.4943827863772311,,2019,0,False,,0.007
lbfgs,none,False,0.031,4.286,False,8.455181890859379,102,ovr,,,2019,0,False,,0.014
liblinear,l2,True,0.8038084232384735,32.718,False,1.4499417609870462,102,ovr,0.044233512535511,,2019,0,False,,0.007
saga,elasticnet,False,0.031,4.286,False,8.455181890859379,102,ovr,0.24190687718653914,,2019,0,False,,-0.011
liblinear,l1,False,0.8038084232384735,32.718,False,1.4499417609870462,102,ovr,0.00952512858858523,,2019,0,False,,-0.044
liblinear,l2,True,0.8038084232384735,32.718,False,1.4499417609870462,102,ovr,0.6700098142791451,,2019,0,False,,0.007
liblinear,l2,True,0.8038084232384735,32.718,False,1.4499417609870462,102,ovr,0.9737963731219367,,2019,0,False,,0.007
liblinear,l2,True,0.8038084232384735,32.718,False,1.4499417609870462,102,ovr,0.9598829270387913,,2019,0,True,,0.007
saga,elasticnet,False,0.021,4.286,False,8.455181890859379,102,ovr,0.9229783702350727,,2019,0,False,,-0.005
liblinear,l2,True,0.8038084232384735,32.718,False,1.4499417609870462,102,auto,0.06385395264593374,,2019,0,True,,0.007
liblinear,l2,True,0.8038084232384735,32.718,False,1.4499417609870462,102,auto,0.7822430550329093,,2019,0,True,,0.007
liblinear,l2,True,0.8038084232384735,32.718,False,1.4499417609870462,102,auto,0.5532737860103298,,2019,0,True,,0.007
liblinear,l2,True,0.8038084232384735,32.718,False,1.4499417609870462,102,ovr,0.10022131722209526,,2019,0,True,,0.007
liblinear,l2,True,0.8038084232384735,32.718,False,1.4499417609870462,102,ovr,0.3442760474676274,,2019,0,True,,0.007
liblinear,l2,False,0.8038084232384735,32.718,False,1.4499417609870462,102,ovr,0.1310572039042298,,2019,0,True,,-0.058
liblinear,l2,False,0.8038084232384735,32.718,False,1.4499417609870462,102,auto,0.2990680288039367,,2019,0,True,,-0.058
liblinear,l2,False,0.8038084232384735,32.718,False,1.4499417609870462,102,auto,0.8442833384002218,,2019,0,True,,-0.058
saga,elasticnet,False,0.021,4.286,False,8.455181890859379,102,ovr,0.9131095626890492,,2019,0,False,,-0.005
liblinear,l2,False,0.8038084232384735,32.718,False,1.4499417609870462,101,auto,0.7479201146616123,,2019,0,True,,-0.058
liblinear,l2,False,0.8038084232384735,32.718,False,1.4499417609870462,101,auto,0.7368244007389034,,2019,0,True,,-0.058
liblinear,l2,False,0.8038084232384735,32.718,True,1.4499417609870462,101,auto,0.7644372634095372,,2019,0,True,,-0.049
liblinear,l2,True,0.021,4.286,False,8.455181890859379,102,ovr,,,2019,0,False,,0.0
liblinear,l2,False,0.8038084232384735,32.718,True,1.4499417609870462,101,auto,0.7168313949346778,,2019,0,True,,-0.049
newton-cg,none,False,0.179,39.925,True,0.911,104,auto,0.01497809520791904,,2019,0,False,,0.019
liblinear,l2,False,0.8038084232384735,32.718,True,1.4499417609870462,101,auto,0.7975590444418987,,2019,0,True,,-0.049
liblinear,l2,True,0.021,4.286,False,8.555,102,ovr,,,2019,0,False,,0.0
sag,l2,False,0.472,58.903,False,1.308,98,multinomial,0.09125778277983398,,2019,0,True,,-0.031
liblinear,l1,False,0.011,4.286,False,8.555,102,ovr,,,2019,0,False,,0.012
liblinear,l2,True,0.011,4.286,False,8.555,102,ovr,,,2019,0,False,,0.0
liblinear,l2,False,0.8038084232384735,32.718,True,2.5187941095613073,101,auto,0.6781472071177156,,2019,0,True,,-0.04
lbfgs,none,False,0.349,34.82,True,8.721,100,ovr,0.7301351499738887,,2019,0,True,,0.018
liblinear,l2,False,0.8038084232384735,32.718,True,2.5187941095613073,101,auto,0.9041959157619038,,2019,0,True,,-0.04
liblinear,l2,False,0.8038084232384735,32.718,True,3.3788419030103407,101,auto,0.796026806769294,,2019,0,True,,-0.03
