solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
lbfgs,l2,False,0.13,10.731261349292215,False,1.091,104,auto,,,2019,0,False,,0.015
newton-cg,l2,False,0.92,80.40504077086621,True,0.9,99,auto,0.48861880442715255,,2019,0,False,,0.022
newton-cg,none,False,0.92,80.40504077086621,True,0.9,99,auto,0.6793025673721249,,2019,0,False,,0.022
lbfgs,l2,False,0.13,10.731261349292215,False,1.091,104,auto,0.3683314563344259,,2019,0,False,,0.015
newton-cg,none,False,0.92,80.40504077086621,True,0.9,99,multinomial,0.9884590580992895,,2019,0,False,,0.022
lbfgs,l2,False,0.13,10.731261349292215,True,1.091,104,auto,0.7771001545085096,,2019,0,False,,0.02
liblinear,l2,True,0.13,10.731261349292215,True,1.091,104,auto,0.43122102463204415,,2019,0,False,,-0.076
liblinear,l2,True,0.13,10.731261349292215,True,1.091,104,auto,0.35852038200953895,,2019,0,False,,-0.076
liblinear,l2,True,0.13,10.731261349292215,True,1.091,104,auto,0.8635789443020424,,2019,0,False,,-0.076
liblinear,l2,True,0.46799600878329994,10.731261349292215,True,1.091,104,auto,0.9030107075409272,,2019,0,False,,-0.076
liblinear,l2,True,0.46799600878329994,11.731,True,1.091,104,auto,0.4516117926868677,,2019,0,False,,-0.078
saga,none,False,0.778,8.222,False,7.287,95,multinomial,,,2019,0,True,,-0.03
saga,l1,False,0.346,94.6111866056956,True,2.406267004901101,102,multinomial,0.11891028655385572,,2019,0,True,,-0.025
liblinear,l2,True,0.46799600878329994,15.133304198957001,True,1.091,104,auto,0.3979536016023134,,2019,0,False,,-0.082
liblinear,l2,True,0.46799600878329994,15.133304198957001,True,1.091,104,auto,0.20723197341708288,,2019,0,False,,-0.082
liblinear,l1,False,0.112,1.811,True,9.876995935735438,102,ovr,,,2019,0,False,,-0.018
liblinear,l1,False,0.36701174574428014,1.811,True,9.876995935735438,102,ovr,,,2019,0,False,,-0.038
saga,l1,False,0.346,94.6111866056956,True,2.406267004901101,102,multinomial,0.04210142789066196,,2019,0,True,,-0.025
liblinear,l1,False,0.46799600878329994,15.133304198957001,True,1.091,104,auto,0.94796135125632,,2019,0,False,,-0.046
newton-cg,none,False,0.92,80.40504077086621,False,0.9,99,multinomial,0.21589436846535714,,2019,0,False,,0.015
liblinear,l1,False,0.36701174574428014,1.811,True,9.977,102,ovr,,,2019,0,False,,-0.038
liblinear,l1,False,0.46799600878329994,15.133304198957001,True,1.091,104,auto,0.19797004355794223,,2019,0,True,,-0.046
newton-cg,l2,False,0.20157399420911,80.40504077086621,False,0.9,99,multinomial,0.37803196431429753,,2019,0,False,,0.015
lbfgs,none,False,0.46799600878329994,15.133304198957001,True,1.091,104,auto,0.9886898889857565,,2019,0,True,,0.021
saga,l1,False,0.346,94.6111866056956,True,2.406267004901101,102,multinomial,0.9829892105452821,,2019,0,True,,-0.025
saga,l1,False,0.346,94.6111866056956,True,2.406267004901101,103,multinomial,0.14840201708602985,,2019,0,True,,-0.025
lbfgs,none,False,0.46799600878329994,15.133304198957001,True,1.091,104,auto,0.6799294831100022,,2019,0,True,,0.021
saga,l1,False,0.346,94.6111866056956,True,2.406267004901101,102,multinomial,0.8776565829010952,,2019,0,True,,-0.025
saga,l1,False,0.346,94.6111866056956,True,2.406267004901101,102,multinomial,0.49540592491118873,,2019,0,True,,-0.025
sag,none,False,0.346,94.6111866056956,True,2.406267004901101,102,multinomial,0.9170466727598151,,2019,0,True,,-0.003
lbfgs,none,False,0.46799600878329994,15.133304198957001,True,1.091,104,auto,0.4986465918650089,,2019,0,True,,0.021
newton-cg,none,False,0.46799600878329994,15.133304198957001,True,1.091,104,auto,0.6700681513152942,,2019,0,True,,0.022
